ACCESSION_NUMBER	DERIV_TRANS_SK	SECURITY_TITLE	SECURITY_TITLE_FN	CONV_EXERCISE_PRICE	CONV_EXERCISE_PRICE_FN	TRANS_DATE	TRANS_DATE_FN	DEEMED_EXECUTION_DATE	DEEMED_EXECUTION_DATE_FN	TRANS_FORM_TYPE	TRANS_CODE	EQUITY_SWAP_INVOLVED	EQUITY_SWAP_TRANS_CD_FN	TRANS_TIMELINESS	TRANS_TIMELINESS_FN	TRANS_SHARES	TRANS_SHARES_FN	TRANS_TOTAL_VALUE	TRANS_TOTAL_VALUE_FN	TRANS_PRICEPERSHARE	TRANS_PRICEPERSHARE_FN	TRANS_ACQUIRED_DISP_CD	TRANS_ACQUIRED_DISP_CD_FN	EXCERCISE_DATE	EXCERCISE_DATE_FN	EXPIRATION_DATE	EXPIRATION_DATE_FN	UNDLYNG_SEC_TITLE	UNDLYNG_SEC_TITLE_FN	UNDLYNG_SEC_SHARES	UNDLYNG_SEC_SHARES_FN	UNDLYNG_SEC_VALUE	UNDLYNG_SEC_VALUE_FN	SHRS_OWND_FOLWNG_TRANS	SHRS_OWND_FOLWNG_TRANS_FN	VALU_OWND_FOLWNG_TRANS	VALU_OWND_FOLWNG_TRANS_FN	DIRECT_INDIRECT_OWNERSHIP	DIRECT_INDIRECT_OWNERSHIP_FN	NATURE_OF_OWNERSHIP	NATURE_OF_OWNERSHIP_FN
0001225208-25-008831	3322929	Dividend Equivalent Rights			F1	29-OCT-2025				4	A	0				958.0				0.0		A			F1		F1	Common Stock, without par value		958.0				5675.0				D			
0001225208-25-008830	3322942	Dividend Equivalent Rights			F1	29-OCT-2025				4	A	0				191.0				0.0		A			F1		F1	Common Stock, without par value		191.0				1073.0				D			
0001437749-25-032571	3322870	Stock Options		9.09		31-OCT-2025				4	D	0				14000.0					F3	D		22-FEB-2024		22-FEB-2033		Common Stock		14000.0				0.0				D			
0000805928-25-000132	3322844	Stock Option (right to buy)		6.3		29-OCT-2025		29-OCT-2025		4	M	0				20436.0				0.0		D			F3	01-SEP-2033		Common Stock		20436.0				0.0				D			
0000805928-25-000132	3322845	Stock Option (right to purchase)		8.14		29-OCT-2025		29-OCT-2025		4	M	0				19799.0				0.0		D			F4	11-JUL-2032		Common Stock		19799.0				39596.0				D			
0000805928-25-000132	3322846	Employee Stock Option (right to purchase)		7.04		30-OCT-2025		30-OCT-2025		4	M	0				18248.0				0.0		D			F5	06-JUN-2034		Common Stock		18248.0				0.0				D			
0001193125-25-260794	3322842	LTIP Units			F4	30-OCT-2025				4	A	false				492745.0					F4	A			F4		F4	Common		492745.0				492745.0				D			
0001193125-25-260794	3322843	Other Stock Units			F5	30-OCT-2025				4	A	false				492745.0					F5	A			F5		F5	Common		492745.0				492745.0				D			
0001189014-25-000005	3322947	Non-Qualified Stock Option (right to buy)		520.01		30-OCT-2025				4	M	0				2712.0				0.0		D			F7	04-JAN-2026		Common Stock		2712.0				0.0				D			
0001189014-25-000005	3322946	Non-Qualified Stock Option (right to buy)		520.01		29-OCT-2025				4	M	0				6500.0				0.0		D			F7	04-JAN-2026		Common Stock		6500.0				2712.0				D			
0001437749-25-032570	3322998	Stock Options		9.09		31-OCT-2025				4	D	0				14000.0					F3	D		22-FEB-2024		22-FEB-2033		Common Stock		14000.0				0.0				D			
0001924613-25-000009	3322937	Deferred Stock Units			F1	30-OCT-2025				4	A	0				54.0	F2			33.25		A			F3		F3	Common Stock		54.0				10266.0				D			
0001437749-25-032569	3322853	Stock Options		9.09		31-OCT-2025				4	D	0				14000.0					F3	D		22-FEB-2024		22-FEB-2033		Common Stock		14000.0				0.0				D			
0001437749-25-032568	3322887	Stock Options		9.09		31-OCT-2025				4	D	0				14000.0					F3	D		22-FEB-2024		22-FEB-2033		Common Stock		14000.0				0.0				D			
0001796226-25-000005	3322919	Non-Qualified Stock Option (right to buy)		555.67		29-OCT-2025				4	M	0				35000.0				0.0		D			F1	16-DEC-2025		Common Stock		35000.0				0.0				D			
0001437749-25-032566	3322833	Stock Options		9.09		31-OCT-2025				4	D	0				14000.0					F3	D		22-FEB-2024		22-FEB-2033		Common Stock		14000.0				0.0				D			
0001193125-25-260784	3322821	Other Stock Units			F4	30-OCT-2025				4	A	false				549874.0					F4	A			F4		F4	Common		549874.0				549874.0				D			
0001193125-25-260784	3322820	LTIP Units			F3	30-OCT-2025				4	A	false				549874.0					F3	A			F3		F3	Common		549874.0				549874.0				D			
0000905148-25-003731	3322964	Restricted Stock Units			F2	29-OCT-2025				4	M	0				23084.0	F3			0.0		D			F2		F2	Common Stock		23084.0	F3			0.0	F3			D			
0001437749-25-032564	3322877	Stock Options		7.99		31-OCT-2025				4	D	0				14000.0					F4	D		22-MAR-2024		22-MAR-2033		Common Stock		14000.0				0.0				D			
0001810276-25-000003	3322913	Employee Stock Option (right to buy)		32.97		30-OCT-2025				4	M	0				2450.0				32.97		D		26-JAN-2017	F3	26-JAN-2026		Common Stock		2450.0				0.0				D			
0000804328-25-000075	3322882	Restricted Stock Unit			F1	29-OCT-2025				4	A	0				3729.0				0.0		A			F2	20-NOV-2028	F2	Common Stock		3729.0				4258.0				D			
0001193125-25-260761	3322816	LTIP Units			F1	30-OCT-2025				4	A	false				2485146.0					F1	A			F1		F1	Common		2485146.0				2485146.0				D			
0001193125-25-260761	3322817	Other Stock Units			F2	30-OCT-2025				4	A	false				2485146.0					F2	A			F2		F2	Common		2485146.0				2485146.0				D			
0002088895-25-000001	3322994	Restricted Stock Units			F1	29-OCT-2025				4	A	false				261780.0				0.0		A			F2		F1	Common Stock		261780.0				261780.0				D			
0001225208-25-008826	3322976	Stock Option (Right-to-Buy)		142.12		30-OCT-2025				4	M	0				200.0				0.0		D		06-APR-2023		06-APR-2030		Common		200.0				13110.0				D			
0001493152-25-020365	3322952	Series C Preferred Stock	F1		F1	30-OCT-2025				4	G	0				215000.0					F2	A			F1		F1	Class A Common Stock			F1			430000.0				I			
0001493152-25-020365	3322951	Series C Preferred Stock	F1		F1	30-OCT-2025				4	G	0				215000.0					F2	A			F1		F1	Class A Common Stock			F1			215000.0				D		By Mainstar Trust Cust Fbo Chris P Chumas Roth IRA	
