ACCESSION_NUMBER	DERIV_HOLDING_SK	SECURITY_TITLE	SECURITY_TITLE_FN	CONV_EXERCISE_PRICE	CONV_EXERCISE_PRICE_FN	TRANS_FORM_TYPE	TRANS_FORM_TYPE_FN	EXERCISE_DATE	EXERCISE_DATE_FN	EXPIRATION_DATE	EXPIRATION_DATE_FN	UNDLYNG_SEC_TITLE	UNDLYNG_SEC_TITLE_FN	UNDLYNG_SEC_SHARES	UNDLYNG_SEC_SHARES_FN	UNDLYNG_SEC_VALUE	UNDLYNG_SEC_VALUE_FN	SHRS_OWND_FOLWNG_TRANS	SHRS_OWND_FOLWNG_TRANS_FN	VALU_OWND_FOLWNG_TRANS	VALU_OWND_FOLWNG_TRANS_FN	DIRECT_INDIRECT_OWNERSHIP	DIRECT_INDIRECT_OWNERSHIP_FN	NATURE_OF_OWNERSHIP	NATURE_OF_OWNERSHIP_FN
0001225208-25-009763	2002492	Stock Option		62.87				01-JAN-2025		07-FEB-2032		Common Stock		19494.0				19494.0				D			
0001225208-25-009759	2002456	Stock Units (LTIP)			F2				F2		F2	Common Stock		4461.0				4461.0				D			
0001225208-25-009759	2002454	Stock Option		104.16				01-JAN-2027		05-FEB-2034		Common Stock		7504.0				7504.0				D			
0001225208-25-009759	2002453	Stock Option		71.95				01-JAN-2026		08-FEB-2033		Common Stock		9668.0				9668.0				D			
0001225208-25-009759	2002452	Stock Option		62.87				01-JAN-2025		07-FEB-2032		Common Stock		8832.0				8832.0				D			
0001225208-25-009759	2002451	Stock Option		61.26				01-JAN-2024		02-FEB-2031		Common Stock		6588.0				6588.0				D			
0001225208-25-009759	2002455	Stock Option		109.13				01-JAN-2028		03-FEB-2035		Common Stock		13588.0				13588.0				D			
0001225208-25-009758	2002498	Stock Option		71.95				01-JAN-2026		08-FEB-2033		Common Stock		9016.0				9016.0				D			
0001225208-25-009758	2002497	Stock Option		62.87				01-JAN-2025		07-FEB-2032		Common Stock		8832.0				8832.0				D			
0001225208-25-009758	2002499	Stock Option		104.16				01-JAN-2027		05-FEB-2034		Common Stock		6872.0				6872.0				D			
0001225208-25-009758	2002500	Stock Option		109.13				01-JAN-2028		03-FEB-2035		Common Stock		8636.0				8636.0				D			
0001225208-25-009758	2002501	Stock Units (LTIP)			F2				F2		F2	Common Stock		3666.0				3666.0				D			
