ACCESSION_NUMBER,NONDERIV_HOLDING_SK,SECURITY_TITLE,SECURITY_TITLE_FN,TRANS_FORM_TYPE,TRANS_FORM_TYPE_FN,SHRS_OWND_FOLWNG_TRANS,SHRS_OWND_FOLWNG_TRANS_FN,VALU_OWND_FOLWNG_TRANS,VALU_OWND_FOLWNG_TRANS_FN,DIRECT_INDIRECT_OWNERSHIP,DIRECT_INDIRECT_OWNERSHIP_FN,NATURE_OF_OWNERSHIP,NATURE_OF_OWNERSHIP_FN
0001062993-25-005832,2357765,Class C Capital Stock,,,,107930.0,,,,I,,"TCV XI (Lux), SCSp",F13
0001062993-25-005832,2357766,Class C Capital Stock,,,,114536.0,,,,I,,"TCV XI Management, L.L.C.",F5
0001062993-25-005832,2357767,Class C Capital Stock,,,,240.0,,,,I,,"TCV XI Member Fund, L.P.",F14
0001062993-25-005832,2357768,Class C Capital Stock,,,,105741.0,,,,I,,"Hoag Family Trust, U/A DTD 08/02/1994",F15
0001062993-25-005832,2357769,Class C Capital Stock,,,,58098.0,,,,I,,,
0001062993-25-005832,2357753,Class C Capital Stock,,,,7703.0,F1,,,D,,"TCV VIII, L.P.",F2
0001062993-25-005832,2357754,Class C Capital Stock,,,,1946114.0,,,,I,,"TCV VIII (A) Mariner, L.P.",F3
0001415889-25-008523,2710325,Common Stock,,,,6827679.0,,,,I,,See footnote,F5
0001214659-25-004521,2605742,Common Stock,,,,16686.0,,,,D,,"By Ault Life Sciences, Inc.",F2
0001214659-25-004521,2605744,Common Stock,,,,549.0,,,,I,,,
0001214659-25-004521,2605743,Common Stock,,,,99619.0,,,,I,,"By Ault Life Sciences Fund, LLC",F3
0001071739-25-000051,2331993,Common Stock,,,,100.0,,,,I,,By Spouse,
0001062993-25-005826,2446386,Common Stock,,,,555.0,,,,I,,By 401(k) trust,
0000950170-25-041566,2461792,Class C Capital Stock,,,,35668.0,,,,D,,,
0001415889-25-008517,2591499,Common Stock,,,,172725.0,,,,D,,,
0001437749-25-008313,2513411,Class A Common Stock,,,,6184.5,,,,I,,,
0001437749-25-008313,2513410,Class B Common Stock,,,,6612102.0,,,,I,,"By 3MR Partners, L.P.",
0001437749-25-008313,2513409,Class A Common Stock,,,,174154.5,F7,,,D,,"By 3MR Partners, L.P.",
0001415889-25-008511,2723567,Class A Common Stock,,,,50000.0,,,,I,,By spouse,
0001415889-25-008511,2723566,Class A Common Stock,,,,943991.0,,,,I,,See footnote,F3
0001415889-25-008510,2562265,Class A Common Stock,,,,43901.0,,,,I,,See footnote,F7
0001415889-25-008510,2562266,Class A Common Stock,,,,43901.0,,,,I,,See footnote,F8
0001415889-25-008510,2562262,Class A Common Stock,,,,60979.0,,,,I,,See footnote,F5
0001415889-25-008510,2562263,Class A Common Stock,,,,60979.0,,,,I,,See footnote,F6
0001415889-25-008510,2562264,Class A Common Stock,,,,186051.0,,,,I,,By Family Trust,
0001437749-25-008312,2587390,Class B Common Stock,,,,182434.0,F7,,,I,,By Trust,
0001437749-25-008312,2587391,Class B Common Stock,,,,1000.0,,,,I,,Joint Account with Spouse,
0001437749-25-008311,2627678,Class A Common Stock,,,,83915.48,F7,,,D,,,
0001437749-25-008310,2781405,Class A Common Stock,,,,704.05,F7,,,D,,,
0001437749-25-008309,2640222,Class A Common Stock,,,,12509.71,F7,,,D,,,
0000950170-25-041558,2774007,Class A Common Stock,,,,0.0,,,,D,,,
0000950170-25-041557,2406036,Common Shares,,,,5000.0,,,,I,,See Footnote,F2
0000950170-25-041556,2724468,Common Stock,,,,10000.0,,,,I,,By Wesley G. Bush Rev. Trust,
0001062993-25-005814,2812289,Common Stock,,,,3096.0,,,,I,,By 401(k) trust,
0001183121-25-000004,2780322,Common Stock,,,,12598.0,,,,I,,"By SF Retzloff Family Limited Partnership, LTD.",
0001183121-25-000004,2780321,Common Stock,,,,378240.0,,,,I,,"By Retzloff Holdings, LTD.",
0001183121-25-000004,2780320,Common Stock,,,,25531.0,,,,I,,"By Retzloff Industries, Inc.",
0001411690-25-000028,2614438,Common Stock,,,,8.0,,,,I,,Robert Erik Holmlin Traditional IRA,
0001793659-25-000063,2550596,Class A Common Stock,,,,4000.0,,,,I,,By Children,
0001127602-25-009873,2480797,Common Stock,,,,7000.0,,,,I,,By Trust,
0001628280-25-013602,2634079,Common Stock,,,,67590.0,,,,I,,By trust,F6
0001793659-25-000061,2380528,Class A Common Stock,,,,205448.0,,,,I,,By Spouse,
0001654954-25-002987,2378438,Common Shares,,,,630100.0,,,,I,,"by Barington Companies Equity Partners, .L.P.","F3, F2"
0001415889-25-008500,2714991,Common Stock,,,,2459.0,,,,I,,See footnote,F2
0001654954-25-002985,2395952,Common Shares,,,,1000.0,,,,I,,Jean V.S. Henry Trust,F3
0001654954-25-002985,2395951,Common Shares,,,,1000.0,,,,I,,Donald W. Henry Trust,F2
0001562180-25-002564,2574240,Common Stock,,,,1603.0,,,,I,,By Child,
0001437749-25-008297,2591293,Restricted Stock Unit,,,,45686.0,F1,,,D,,,
0001361658-25-000163,2758438,Common Stock,,,,9977.0,F4,,,D,,,
0001361658-25-000163,2758437,Common Stock,,,,1955.0,F3,,,D,,,
0001361658-25-000162,2643242,Common Stock,,,,44512.0,F4,,,D,,,
0001628280-25-013598,2769651,Common Stock,,,,126622.0,,,,I,,By Rosenthal Family Trust,
0001361658-25-000161,2366319,Common Stock,,,,1955.0,F3,,,D,,,
