ACCESSION_NUMBER	DERIV_TRANS_SK	SECURITY_TITLE	SECURITY_TITLE_FN	CONV_EXERCISE_PRICE	CONV_EXERCISE_PRICE_FN	TRANS_DATE	TRANS_DATE_FN	DEEMED_EXECUTION_DATE	DEEMED_EXECUTION_DATE_FN	TRANS_FORM_TYPE	TRANS_CODE	EQUITY_SWAP_INVOLVED	EQUITY_SWAP_TRANS_CD_FN	TRANS_TIMELINESS	TRANS_TIMELINESS_FN	TRANS_SHARES	TRANS_SHARES_FN	TRANS_TOTAL_VALUE	TRANS_TOTAL_VALUE_FN	TRANS_PRICEPERSHARE	TRANS_PRICEPERSHARE_FN	TRANS_ACQUIRED_DISP_CD	TRANS_ACQUIRED_DISP_CD_FN	EXCERCISE_DATE	EXCERCISE_DATE_FN	EXPIRATION_DATE	EXPIRATION_DATE_FN	UNDLYNG_SEC_TITLE	UNDLYNG_SEC_TITLE_FN	UNDLYNG_SEC_SHARES	UNDLYNG_SEC_SHARES_FN	UNDLYNG_SEC_VALUE	UNDLYNG_SEC_VALUE_FN	SHRS_OWND_FOLWNG_TRANS	SHRS_OWND_FOLWNG_TRANS_FN	VALU_OWND_FOLWNG_TRANS	VALU_OWND_FOLWNG_TRANS_FN	DIRECT_INDIRECT_OWNERSHIP	DIRECT_INDIRECT_OWNERSHIP_FN	NATURE_OF_OWNERSHIP	NATURE_OF_OWNERSHIP_FN
0001225208-25-006447	3029733	Deferred Stock Unit			F1	01-JUL-2025				4	A	0				75.0	F1				F1	A			F1		F1	Common Stock		75.0				14434.0	F2			D			
0001225208-25-006446	3094718	Deferred Stock Unit			F1	01-JUL-2025				4	A	0				14.0	F1				F1	A			F1		F1	Common Stock		14.0				2847.0	F2			D			
0001225208-25-006445	2966530	Deferred Stock Unit			F1	01-JUL-2025				4	A	0				46.0	F1				F1	A			F1		F1	Common Stock		46.0				8961.0	F2			D			
0001225208-25-006444	2966441	Deferred Stock Unit			F1	01-JUL-2025				4	A	0				17.0	F1				F1	A			F1		F1	Common Stock		17.0				2289.0	F2			D			
0001225208-25-006443	3158136	Deferred Stock Unit			F1	01-JUL-2025				4	A	0				26.0	F1				F1	A			F1		F1	Common Stock		26.0				5170.0	F2			D			
0001225208-25-006442	3035863	Deferred Stock Unit			F1	01-JUL-2025				4	A	0				40.0	F1				F1	A			F1		F1	Common Stock		40.0				7713.0	F2			D			
0001225208-25-006441	3175178	Deferred Stock Unit			F1	01-JUL-2025				4	A	0				85.0	F1				F1	A			F1		F1	Common Stock		85.0				16444.0	F2			D			
0001225208-25-006440	3010785	Deferred Stock Unit			F1	01-JUL-2025				4	A	0				50.0	F1				F1	A			F1		F1	Common Stock		50.0				9737.0	F2			D			
0000891014-25-000112	2966364	PHANTOM STOCK UNITS			F1	01-JUL-2025				4	A	0				211.88				0.0		A			F2		F2	COMMON STOCK		211.88				22382.84				D			
0000891014-25-000110	2966553	PHANTOM STOCK UNITS			F1	01-JUL-2025				4	A	0				84.75				0.0		A			F2		F2	COMMON STOCK		84.75				18308.47				D			
0001225208-25-006439	3084118	Stock Units	F1	0.0	F2	01-JUL-2025				4	A	0				1097.54				0.0		A			F3		F3	Common Stock		1097.54				95243.42				D			
0001225208-25-006438	2967183	Stock Units	F1	0.0	F2	01-JUL-2025				4	A	0				978.24				0.0		A			F3		F3	Common Stock		978.24				19182.54				D			
0001225208-25-006437	3137658	Stock Units	F1	0.0	F2	01-JUL-2025				4	A	0				1574.73				0.0		A			F3		F3	Common Stock		1574.73				29979.94				D			
0001225208-25-006436	3293035	Stock Units	F1	0.0	F2	01-JUL-2025				4	A	0				978.24				0.0		A			F3		F3	Common Stock		978.24				2745.08				D			
0001225208-25-006435	2966448	Stock Units	F1	0.0	F2	01-JUL-2025				4	A	0				1097.54				0.0		A			F3		F3	Common Stock		1097.54				20549.61				D			
0001225208-25-006434	2978015	Stock Units	F1	0.0	F2	01-JUL-2025				4	A	0				978.24				0.0		A			F3		F3	Common Stock		978.24				7581.66				D			
0001225208-25-006433	3265047	Stock Units	F1	0.0	F2	01-JUL-2025				4	A	0				1216.84				0.0		A			F3		F3	Common Stock		1216.84				62197.49				D			
0001225208-25-006432	2967162	Stock Units	F1	0.0	F2	01-JUL-2025				4	A	0				978.24				0.0		A			F3		F3	Common Stock		978.24				9530.28				D			
0001225208-25-006431	2966481	Stock Units	F1	0.0	F2	01-JUL-2025				4	A	0				978.24				0.0		A			F3		F3	Common Stock		978.24				14691.16				D			
